filenames,source_url,artist, attribution-text
altar_angel*,https://www.youtube.com/watch?v=6QBEt0F13RE,Free Copyright Free Sounds - For Video Contents
project-item-*.ogg,https://opengameart.org/content/gui-sound-effects,Lokif
npc-*.ogg,https://opengameart.org/content/sound-effects-pack,https://opengameart.org/content/sound-effects-pack,OwlishMedia
teleportation-shrine/*.ogg,Thylacine Studios <https://www.thylacinestudios.com>,
snd_ChestOpening/*.wav,Thylacine Studios <https://www.thylacinestudios.com>,
exotic-portal/*,https://www.youtube.com/watch?v=FmEiTpMCur8,
nether-portal*.wav,https://opengameart.org/content/sci-fi-drone-loop
summoning-*,https://opengameart.org/content/fire-crackling
quest-item/*,Thylacine Studios <https://www.thylacinestudios.com>,
riddle-dwarf/*,Thylacine Studios <https://www.thylacinestudios.com>,
pand-statue/*,Thylacine Studios <https://www.thylacinestudios.com>,
treasure-map-item/*,Thylacine Studios <https://www.thylacinestudios.com>,
emblem/*,Thylacine Studios <https://www.thylacinestudios.com>,
wardrobe/*,Thylacine Studios <https://www.thylacinestudios.com>,
blacksmith/*,Thylacine Studios <https://www.thylacinestudios.com>,
enchanter/*,Thylacine Studios <https://www.thylacinestudios.com>,
everett/*,https://pypi.org/project/gTTS/,
divination-candle/*,https://bigsoundbank.com/detail-1556-party-horn-4.html,Joseph SARDIN
menagerie/*,https://freesound.org/people/beskhu/sounds/273911/,
large-chest/*,Thylacine Studios <https://www.thylacinestudios.com>,
large-chest-key/*,Thylacine Studios <https://www.thylacinestudios.com>,
materials-common/*,Thylacine Studios <https://www.thylacinestudios.com>,
materials-rare/*,Thylacine Studios <https://www.thylacinestudios.com>,
materials-legendary/*,Thylacine Studios <https://www.thylacinestudios.com>,
gembag/*,Thylacine Studios <https://www.thylacinestudios.com>,
